driver_id,first_name,last_name,full_name,email,phone,city,state,market,cdl_type,vehicle_type,experience,status,rating,total_deliveries,total_routes_completed,on_time_percentage,completion_rate,background_check,drug_screen,mvr_status,fully_cleared,hourly_rate_usd,total_deployments,date_joined,last_active,available_from,fedex_isp_experience,willing_to_relocate,notes
RR-00001,Ricardo,Gray,Ricardo Gray,ricardo.gray@yahoo.com,(499) 562-1494,San Francisco,CA,"San Francisco, CA",CDL-B,Step Van,1-2 Years,CLEARED,5.0,2264,525,90.7,97.5,PASSED,PASSED,CLEAN,YES,23.55,11,2025-09-08,2026-03-30,2026-04-14,YES,NO,
RR-00002,Hannah,Campbell,Hannah Campbell,campbell.h@yahoo.com,(955) 602-8025,Miami,FL,"Miami, FL",CDL-A,Box Truck,10+ Years,CLEARED,4.7,1435,1,90.5,97.2,PENDING,PASSED,MINOR_VIOLATION,NO,27.39,3,2026-01-03,2026-03-27,2026-04-05,YES,YES,
RR-00003,Fernando,Peterson,Fernando Peterson,fernando588@hotmail.com,(595) 710-8155,Pittsburgh,PA,"Pittsburgh, PA",CDL-B,Step Van,1-2 Years,STANDBY,5.0,1875,564,90.0,99.3,PASSED,PENDING,CLEAN,NO,18.29,11,2025-11-29,2026-04-01,2026-04-10,NO,NO,
RR-00004,Tiffany,Alexander,Tiffany Alexander,tiffany_alexander@outlook.com,(449) 739-6992,Jacksonville,FL,"Jacksonville, FL",CDL-A,Step Van,1-2 Years,STANDBY,4.7,2371,500,91.0,95.6,PASSED,PASSED,MINOR_VIOLATION,YES,34.38,4,2025-11-30,2026-03-19,2026-04-06,YES,NO,
RR-00005,Floyd,Harris,Floyd Harris,harris.f@outlook.com,(818) 545-2083,Jacksonville,FL,"Jacksonville, FL",CDL-A,Box Truck,2-3 Years,CLEARED,5.0,1357,633,90.6,99.2,PASSED,PASSED,CLEAN,YES,30.56,7,2025-11-03,2026-03-18,2026-04-14,YES,YES,
RR-00006,Ebony,Morris,Ebony Morris,ebony_morris@gmail.com,(671) 508-1497,Chicago,IL,"Chicago, IL",CDL-B,Step Van,3-5 Years,MATCHING,5.0,1936,266,99.6,96.6,PENDING,PASSED,CLEAN,NO,20.75,11,2025-07-29,2026-03-28,2026-04-08,YES,YES,
RR-00007,Aisha,Anderson,Aisha Anderson,aisha_anderson@outlook.com,(987) 677-4246,Cincinnati,OH,"Cincinnati, OH",CDL-B,Box Truck,2-3 Years,CLEARED,4.7,286,691,99.5,99.1,PASSED,PASSED,CLEAN,YES,22.24,10,2025-04-28,2026-04-04,2026-04-05,YES,NO,
RR-00008,Rhonda,Flores,Rhonda Flores,rhonda.flores@yahoo.com,(864) 594-1220,New York,NY,"New York, NY",CDL-B,Box Truck,2-3 Years,STANDBY,4.6,1751,166,89.0,92.2,PASSED,PASSED,CLEAN,YES,23.09,15,2025-10-19,2026-03-20,2026-04-18,YES,YES,
RR-00009,Wesley,Edwards,Wesley Edwards,wesley.edwards@icloud.com,(859) 471-9585,Nashville,TN,"Nashville, TN",CDL-B,Box Truck,7-10 Years,CLEARED,4.5,645,794,92.7,95.8,PASSED,PASSED,MINOR_VIOLATION,YES,22.64,7,2025-10-15,2026-03-16,2026-04-06,YES,YES,
RR-00010,Sean,Reed,Sean Reed,sean_reed@icloud.com,(393) 414-9677,Chicago,IL,"Chicago, IL",CDL-A,Cargo Van,1-2 Years,CLEARED,4.6,1612,212,92.7,96.6,PASSED,PASSED,CLEAN,YES,23.67,10,2025-06-27,2026-03-28,2026-04-12,NO,YES,
